Record_Number,Channel,CAN_ID_Hex,Frame_Type,Length,Timestamp,Data_Hex,First_4_Bytes,Float_Value
56,0,0x10F,STD,8,2026-01-28T18:46:28.026787,03 00 03 00 96 8E 3B 3D,03000300,0.000000
57,0,0x110,STD,8,2026-01-28T18:46:28.050793,03 00 03 00 1B 6C 04 49,03000300,0.000000
58,0,0x10F,STD,8,2026-01-28T18:46:28.107805,03 00 03 00 A0 90 1F 3D,03000300,0.000000
59,0,0x10F,STD,8,2026-01-28T18:46:28.131811,03 00 02 00 ED 1D 37 41,03000200,0.000000
60,0,0x10F,STD,8,2026-01-28T18:46:28.131811,03 00 02 00 EA 90 2B 41,03000200,0.000000
61,0,0x110,STD,8,2026-01-28T18:46:28.131811,03 00 02 00 EA 90 2B 41,03000200,0.000000
62,0,0x10F,STD,8,2026-01-28T18:46:28.131811,03 00 01 00 00 00 00 00,03000100,0.000000
63,0,0x10F,STD,8,2026-01-28T18:46:28.131811,03 00 01 00 00 00 00 00,03000100,0.000000
64,0,0x10F,STD,8,2026-01-28T18:46:28.188824,03 00 03 00 74 AB 5C 3D,03000300,0.000000
65,0,0x110,STD,8,2026-01-28T18:46:28.212829,03 00 03 00 D2 2A 1A 48,03000300,0.000000
66,0,0x10F,STD,8,2026-01-28T18:46:28.269573,03 00 03 00 72 77 F7 3C,03000300,0.000000
67,0,0x110,STD,8,2026-01-28T18:46:28.293579,03 00 03 00 2F 98 52 48,03000300,0.000000
68,0,0x10F,STD,8,2026-01-28T18:46:28.350591,03 00 03 00 AC C2 5E 3D,03000300,0.000000
69,0,0x110,STD,8,2026-01-28T18:46:28.371596,03 00 03 00 8D FD 83 48,03000300,0.000000
70,0,0x10F,STD,8,2026-01-28T18:46:28.427659,03 00 03 00 7E 94 FB 3C,03000300,0.000000
71,0,0x110,STD,8,2026-01-28T18:46:28.450937,03 00 03 00 CC 63 68 48,03000300,0.000000
72,0,0x10F,STD,8,2026-01-28T18:46:28.506699,03 00 03 00 60 52 D8 3C,03000300,0.000000
73,0,0x110,STD,8,2026-01-28T18:46:28.530704,03 00 03 00 B8 4B 96 48,03000300,0.000000
74,0,0x10F,STD,8,2026-01-28T18:46:28.587717,03 00 03 00 BF E3 F0 3C,03000300,0.000000
75,0,0x110,STD,8,2026-01-28T18:46:28.611722,03 00 03 00 01 32 0B 48,03000300,0.000000
76,0,0x10F,STD,8,2026-01-28T18:46:28.668735,03 00 03 00 D7 9B E3 3C,03000300,0.000000
77,0,0x110,STD,8,2026-01-28T18:46:28.692741,03 00 03 00 B0 12 1F 48,03000300,0.000000
78,0,0x10F,STD,8,2026-01-28T18:46:28.749754,03 00 03 00 81 FC 5B 3D,03000300,0.000000
79,0,0x110,STD,8,2026-01-28T18:46:28.773759,03 00 03 00 6B 76 09 48,03000300,0.000000
80,0,0x10F,STD,8,2026-01-28T18:46:28.830771,03 00 03 00 A8 A2 28 3D,03000300,0.000000
81,0,0x110,STD,8,2026-01-28T18:46:28.854777,03 00 03 00 CF 73 86 48,03000300,0.000000
82,0,0x10F,STD,8,2026-01-28T18:46:28.900788,03 00 03 00 EE BE 8A 3D,03000300,0.000000
83,0,0x110,STD,8,2026-01-28T18:46:28.924794,03 00 03 00 10 D6 43 48,03000300,0.000000
84,0,0x10F,STD,8,2026-01-28T18:46:28.981806,03 00 03 00 C2 98 55 3D,03000300,0.000000
85,0,0x110,STD,8,2026-01-28T18:46:29.005811,03 00 03 00 6F 4A 63 48,03000300,0.000000
86,0,0x10F,STD,8,2026-01-28T18:46:29.062328,03 00 03 00 C2 63 81 3D,03000300,0.000000
87,0,0x110,STD,8,2026-01-28T18:46:29.085684,03 00 03 00 7A 75 25 48,03000300,0.000000
88,0,0x10F,STD,8,2026-01-28T18:46:29.142697,03 00 03 00 F0 91 80 3D,03000300,0.000000
89,0,0x110,STD,8,2026-01-28T18:46:29.166703,03 00 03 00 9F F6 46 48,03000300,0.000000
90,0,0x110,STD,8,2026-01-28T18:46:29.166703,03 00 01 00 00 00 00 00,03000100,0.000000
91,0,0x110,STD,8,2026-01-28T18:46:29.166703,03 00 02 00 EA 90 2B 41,03000200,0.000000
92,0,0x10F,STD,8,2026-01-28T18:46:29.166703,03 00 01 00 00 00 00 00,03000100,0.000000
93,0,0x110,STD,8,2026-01-28T18:46:29.166703,03 00 01 00 00 00 00 00,03000100,0.000000
94,0,0x10F,STD,8,2026-01-28T18:46:29.223715,03 00 03 00 BA 10 6E 3D,03000300,0.000000
95,0,0x110,STD,8,2026-01-28T18:46:29.247720,03 00 03 00 86 14 7F 48,03000300,0.000000
96,0,0x10F,STD,8,2026-01-28T18:46:29.304734,03 00 03 00 C8 53 B0 3D,03000300,0.000000
97,0,0x110,STD,8,2026-01-28T18:46:29.328738,03 00 03 00 6A 08 E7 47,03000300,0.000000
98,0,0x10F,STD,8,2026-01-28T18:46:29.385751,03 00 03 00 66 26 50 3D,03000300,0.000000
99,0,0x110,STD,8,2026-01-28T18:46:29.409260,03 00 03 00 2D 8A E6 46,03000300,0.000000
100,0,0x10F,STD,8,2026-01-28T18:46:29.466273,03 00 03 00 14 C5 8E 3D,03000300,0.000000
101,0,0x110,STD,8,2026-01-28T18:46:29.490278,03 00 03 00 0C 51 89 47,03000300,0.000000
102,0,0x10F,STD,8,2026-01-28T18:46:29.547291,03 00 03 00 13 CF 6A 3D,03000300,0.000000
103,0,0x110,STD,8,2026-01-28T18:46:29.571296,03 00 03 00 E1 1F 71 48,03000300,0.000000
104,0,0x10F,STD,8,2026-01-28T18:46:29.628309,03 00 03 00 70 C1 8C 3D,03000300,0.000000
105,0,0x110,STD,8,2026-01-28T18:46:29.652315,03 00 03 00 80 F3 93 48,03000300,0.000000
106,0,0x10F,STD,8,2026-01-28T18:46:29.698325,03 00 03 00 9E 9B A1 3D,03000300,0.000000
107,0,0x110,STD,8,2026-01-28T18:46:29.722330,03 00 03 00 AF 62 AC 48,03000300,0.000000
108,0,0x10F,STD,8,2026-01-28T18:46:29.779343,03 00 03 00 3D F2 4E 3D,03000300,0.000000
109,0,0x110,STD,8,2026-01-28T18:46:29.803349,03 00 03 00 0E 13 DC 48,03000300,0.000000
110,0,0x10F,STD,8,2026-01-28T18:46:29.860362,03 00 03 00 F3 40 C0 3D,03000300,0.000000
111,0,0x110,STD,8,2026-01-28T18:46:29.884367,03 00 03 00 52 7B AD 48,03000300,0.000000
112,0,0x10F,STD,8,2026-01-28T18:46:29.941380,03 00 03 00 30 DA 6D 3D,03000300,0.000000
113,0,0x110,STD,8,2026-01-28T18:46:29.965385,03 00 03 00 A6 5A 99 48,03000300,0.000000
114,0,0x10F,STD,8,2026-01-28T18:46:30.022398,03 00 03 00 23 AE B1 3D,03000300,0.000000
115,0,0x110,STD,8,2026-01-28T18:46:30.046404,03 00 03 00 B3 8C 9E 48,03000300,0.000000
116,0,0x10F,STD,8,2026-01-28T18:46:30.103416,03 00 03 00 B1 02 85 3D,03000300,0.000000
117,0,0x110,STD,8,2026-01-28T18:46:30.127422,03 00 03 00 D2 C9 A6 48,03000300,0.000000
